ID	German_Source	DeepL_Output	GlossWerk_Output	Human_Reference	Changed	Preferred (DeepL/GlossWerk/Equal)	GW_Used_Correct_Term (Yes/No/NA)	Edits_Needed_DeepL (0-5)	Edits_Needed_GlossWerk (0-5)	DE_Term (if terminology issue)	Wrong_MT_Term	Correct_EN_Term	Notes
1	Fig. 3 ein Blockschaltbild einer Weiterbildung der Einrichtung nach Fig. 1.	Fig. 3 a block diagram of a further development of the device according to Fig. 1.	FIG. 3 is a block diagram of a development of the device according to FIG. 1.	FIG. 3 is a block diagram of a development of the instrument of FIG. 1.	Yes								
2	Aus der Figur 4 ist ersichtlich, dass die drei Führungsplatten 2 bis 4 mittels einer Vielzahl von Punktabstützungen 6 miteinander verbunden sind.	Figure 4 shows that the three guide plates 2 to 4 are connected to each other by means of a large number of point supports 6.	FIG. 4 shows that the three guide plates 2 to 4 are connected to one another by means of a plurality of point supports 6 .	From FIG. 4, it can be seen that the three guide plates 2 to 4 are connected to one another by a multiplicity of point supports 6 .	Yes								
3	ein Wasserstoff, eine Alkyl-, Alkoxymethyl-, Alkanoyl-, Alkoxycarbonylgruppe - jeweils mit einer Kohlenstoffkette von 1 bis 6 Kohlenstoffatomen, 2-Methoxyethyl-, 2-Hydroxyethyl-, 2-Alkanoyloxyethyl-, (Alkanoyl = C₁-C₄) oder eine Trialkylsilylgruppe mit Alkylresten von 1 bis 4 Kohlenstoffatomen,	a hydrogen, an alkyl, alkoxymethyl, alkanoyl, alkoxycarbonyl group - each with a carbon chain of 1 to 6 carbon atoms, 2-methoxyethyl, 2-hydroxyethyl, 2-alkanoyloxyethyl, (alkanoyl = C₁-C₄) or a trialkylsilyl group with alkyl radicals of 1 to 4 carbon atoms,	is hydrogen, an alkyl, alkoxymethyl, alkanoyl, alkoxycarbonyl group—in each case having a carbon chain of 1 to 6 carbon atoms, 2-methoxyethyl, 2-hydroxyethyl, 2-alkanoyloxyethyl (alkanoyl=C1 -C4) or a trialkylsilyl group having alkyl radicals of 1 to 4 carbon atoms,	means a hydrogen, an alkyl, alkoxymethyl, alkanoyl, alkoxycarbonyl group, each with a carbon chain of 1 to 6 carbon atoms, 2-methoxyethyl, 2-hydroxyethyl, 2-alkanoyloxyethyl, (alkanoyl-C1 -C4) or a trialkylsilyl group with alkyl radicals of 1 to 4 carbon atoms,	Yes								
4	Figur 7 zeigt ein Wärmeprofil der Gase in den einzelnen Bereichen während dem Betrieb einer Vorrichtung gemäß Fig. 5 . Bereich 1 zeigt eine relativ gleichbleibende Temperatur (90°C) des Heizteilstroms vom Gebläse, über den Spinnbereich 4 bis zur Abluft (adiabat).	Figure 7 shows a heat profile of the gases in the individual areas during operation of a device as shown in Fig. 5. Area 1 shows a relatively constant temperature (90°C) of the heating section flow from the blower, via the spinning area 4 to the exhaust air (adiabatic).	FIG. 7 shows a heat profile of the gases in the individual regions during operation of a device as shown in FIG. 5 . The region 1 shows a relatively constant temperature (90° C.) of the heating section flow from the blower, via the spinning region 4 to the exhaust air (adiabatic).	FIG. 7 shows a heat profile of the gases in the individual regions during the operation of a device according to FIG. 5 . Region 1 shows a relatively constant temperature (90° C.) of the hot partial flow from the fan, via the spinning region 4, to the exhaust air (adiabatic).	Yes								
5	Daraus kann abgelesen werden, unter welchen Bedingungen der Schmelzpunkt von PE durch zumischen von P(j) erhöht werden kann. Legende Aufbereitungsextruder	This shows the conditions under which the melting point of PE can be increased by adding P(j). Processing extruder legend	This shows the conditions under which the melting point of PE can be increased by adding P(j).	From this it is possible to read off the conditions under which the melting point of PE can be increased by adding P(j).	Yes								
6	1 zeigt beispielhaft einzelne mit einem Kennzeichen 8 versehene Druckprodukte 3.	1 shows examples of individual printed products 3 provided with a label 8.	1 shows examples of individual printed products 3 provided with a label 8 .	1 shows, by way of example, individual printed subproducts 3 provided with a marker 8 .	Yes								
7	Bei einer Rahmenhöhe von etwa 19 mm und einem Umfang des Rahmenprofils im Bereich der Dämpfungslage (bei 4 Uhr) von etwa 50 mm kann mit dem Dämpfungsmaterial mit den vorstehenden Abmessungen mindestens eine, vorzugsweise zwei Wicklungen, realisiert werden.	With a frame height of about 19 mm and a circumference of the frame profile in the area of the damping position (at 4 o'clock) of about 50 mm, at least one, preferably two windings can be realized with the damping material with the above dimensions.	With a frame height of approximately 19 mm and a circumference of the frame profile in the region of the damping position (at 4 o'clock) of approximately 50 mm, at least one, preferably two windings can be realized with the damping material with the above-mentioned dimensions.	In the case of a frame height of about 19 mm and a circumference of the frame profile in the area of the dampening layer (at four o'clock) of about 50 mm, at least one, preferably two winding(s) can be realized with the dampening material having the above dimensions.	Yes								
8	ml des versetzten Vollbluts wurden zum Abtrennen des Blutplasmas, einschließlich der in dem Blutplasma befindlichen extrazellulären Nukleinsäuren, 10 Minuten bei etwa 5.000 g zentrifugiert.	ml of the spiked whole blood was centrifuged for 10 minutes at approximately 5,000 g to separate the blood plasma, including the extracellular nucleic acids contained in the blood plasma.	ml of the spiked whole blood were centrifuged at about 5000 g for 10 minutes in order to separate the blood plasma, including the extracellular nucleic acids contained in the blood plasma.	ml of the spiked whole blood were centrifuged for 10 minutes at about 5000 g to remove the blood plasma, including the extracellular nucleic acids present in the blood plasma.	Yes								
9	Es zeigt sich also, daß auch nach längerer Reaktionszeit ein gewisser Rest an Polyamin bleibt, der nur sehr langsamt in dem Reaktionsmedium durch die Polyharnstoffumhüllung weiterreagieren kann.	This shows that even after a longer reaction time, a certain amount of polyamine remains, which can only react very slowly in the reaction medium through the polyurea coating.	This shows that even after a longer reaction time, a certain amount of polyamine remains which can react only very slowly in the reaction medium through the polyurea coating.	Accordingly, it can be seen that, even after a relatively long reaction time, there remains a certain residue of polyamine which is only able to further react very slowly in the reaction medium through the polyurea coating.	Yes								
10	Zum Abnehmen des Schienenprofils wird dieses an einem Ende angefaßt und reißverschlußartig aus den Zungen herausgezogen.	To remove the rail profile, hold it at one end and pull it out of the tongues like a zipper.	To remove the rail profile, it is held at one end and pulled out of the tongues like a zipper.	To remove the rail section, it is grasped at one end, and pulled out of the tongues in the manner of a zipper.	Yes								
11	Sie wird mit einer Kappe verschlossen.	It is closed with a cap.	It is closed with a cap.	This nozzle is closed with a cap.	No								
